op_id,date,product_name,amt,amt_unit,ai_id,ai_name,ai_amt,ai_unit,ai_gha
1,2018-04-10,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
2,2018-04-10,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
3,2018-04-10,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
4,2018-04-10,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
7,2018-05-16,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
8,2018-05-16,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
9,2018-05-16,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
10,2018-05-16,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
11,2018-05-16,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
12,2018-05-16,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
13,2018-05-29,metaxon,1,l/ha,1,mcpa acid,750,g/l,750
13,2018-05-29,metaxon,1,l/ha,2,fluroxypyr,100,g/l,100
14,2018-05-29,metaxon,1,l/ha,1,mcpa acid,750,g/l,750
14,2018-05-29,metaxon,1,l/ha,2,fluroxypyr,100,g/l,100
15,2018-05-29,metaxon,1,l/ha,1,mcpa acid,750,g/l,750
15,2018-05-29,metaxon,1,l/ha,2,fluroxypyr,100,g/l,100
16,2018-05-29,metaxon,1,l/ha,1,mcpa acid,750,g/l,750
16,2018-05-29,metaxon,1,l/ha,2,fluroxypyr,100,g/l,100
17,2018-05-29,metaxon,1,l/ha,1,mcpa acid,750,g/l,750
17,2018-05-29,metaxon,1,l/ha,2,fluroxypyr,100,g/l,100
18,2018-05-29,metaxon,1,l/ha,1,mcpa acid,750,g/l,750
18,2018-05-29,metaxon,1,l/ha,2,fluroxypyr,100,g/l,100
30,2019-04-01,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
31,2019-04-01,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
32,2019-04-01,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
33,2019-04-01,roundup flex xxl,2.083333,l/ha,1,glyphosate,480,g/l,999.9998400000001
34,2019-05-14,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
35,2019-05-14,starane xl,0.5,l/ha,1,florasulam,2.5,g/l,1.25
35,2019-05-14,trimmer sg,10,g/ha,1,tribenuron-methyl,0.5,g/g,5
36,2019-05-14,starane xl,0.5,l/ha,1,florasulam,2.5,g/l,1.25
36,2019-05-14,trimmer sg,10,g/ha,1,tribenuron-methyl,0.5,g/g,5
37,2019-05-14,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
38,2019-05-14,starane xl,0.5,l/ha,1,florasulam,2.5,g/l,1.25
38,2019-05-14,trimmer sg,10,g/ha,1,tribenuron-methyl,0.5,g/g,5
39,2019-05-14,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
40,2019-05-14,starane xl,0.5,l/ha,1,florasulam,2.5,g/l,1.25
40,2019-05-14,trimmer sg,10,g/ha,1,tribenuron-methyl,0.5,g/g,5
41,2019-05-14,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
42,2019-05-14,starane xl,0.5,l/ha,1,florasulam,2.5,g/l,1.25
42,2019-05-14,trimmer sg,10,g/ha,1,tribenuron-methyl,0.5,g/g,5
43,2019-05-14,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
44,2019-05-14,harmony sx,12,g/ha,1,Thifensulfuron-methyl ,0.5,g/g,6
45,2019-05-14,starane xl,0.5,l/ha,1,florasulam,2.5,g/l,1.25
45,2019-05-14,trimmer sg,10,g/ha,1,tribenuron-methyl,0.5,g/g,5
