eppo_code,NMDS1,NMDS2,NMDS3,year
soil,0.04520094970022521,0.016288694928708155,-0.0627575849894169,2018
horvw,-0.2024703476919962,0.03731170760908717,0.008304226461587962,2018
trfre,-0.3294348649414063,-0.35125790940737167,-0.03147358565460896,2018
lolpe,-0.3151901986657412,-0.48931644613110387,0.06132614297617706,2018
rapsr,0.7088666011627106,0.020277919724668712,0.04920177200496562,2018
senss,-0.31341059058348036,0.05466762463496544,-0.08317219084705482,2018
verss,-0.32491777653229087,0.17295090561987722,-0.16364057174125526,2018
capbp,-0.16370120806942626,-0.32939527143424646,-0.4484241009089356,2018
paprh,-0.26171669110929474,0.11839282206167956,-0.19072895073105745,2018
cirar,-0.3126226976806053,-0.2438596961234185,-0.010519677327275946,2018
gerss,-0.31106041825014075,-0.17710322959531125,-0.08525432857621403,2018
matin,-0.34106474455363184,-0.33743954926962355,0.2869797762841201,2018
tarof,-0.3795440218218813,-0.4714563773833523,0.009134890496182888,2018
ephex,-0.2738631972023312,-0.8276716756154964,0.17195139014840452,2018
lamss,NA,NA,NA,2018
soil,0.1165455257734351,-0.022429331502541658,-0.06225993069938266,2019
avesa,0.03433637930873635,-0.14962856831911725,0.052150546811363635,2019
trfre,-0.720167547946334,0.17026148235299526,-0.10364212919546024,2019
lolpe,-0.6023306373284493,0.13242205552021696,0.008215691136206916,2019
rapsr,0.44565388357719143,0.3664601977377925,0.08956812792487653,2019
senss,NA,NA,NA,2019
verss,0.2172246470079039,-0.35290770409854444,-0.28665663525604074,2019
capbp,0.35827820865348525,0.06179438565238175,-0.34084848797509504,2019
paprh,0.23497729587271457,-0.28517982679047493,-0.32926758483362184,2019
cirar,-0.15413493760907934,-0.1962465305401224,-0.25683613790976584,2019
gerss,-0.07929979408491208,-0.12157404572452227,-0.15599098136286677,2019
matin,0.1818666110749063,-0.3294630947616001,-0.243004810154878,2019
tarof,-0.0074355369400454325,-0.2866856070205864,-0.19977440323733128,2019
ephex,NA,NA,NA,2019
lamss,-1.6525560366520504e-4,-0.19183832397317746,-0.20493805453346944,2019
