eppo_code,NMDS1,NMDS2
horvw,-0.940526977731249,-0.10981444440978078
trfre,0.27247522771957516,-0.8248460888121779
lolpe,0.3024637001534871,-0.7302991363287499
rapsr,-0.015344578060458417,0.7423864166632731
senss,-1.0421777179224094,-0.24814237667895642
verss,0.17632165859305665,-0.0811771283789893
capbp,-0.6717336936760886,-0.5309048387376281
paprh,1.2832737049942227,0.08620741975306387
cirar,0.3040766277459095,-0.3907625193272911
gerss,0.11922049024191264,-0.26474774051277994
matin,0.3637311936234815,-0.21407220079892755
tarof,1.1747960937043436,-0.19127880501164043
ephex,-0.43186452220727245,-0.7441158120836618
lamss,0.9461321020387042,-0.25236252785777574
avesa,0.9306503534494537,-0.06466774607648253
