term,statistic,df,p.value
till_id,0.24283692447355654,3,0.970394502731774
cctrt_id,65.29585718764508,5,9.730351559322058e-13
straw_id,0.9375435435155816,1,0.3329103810943639
yearF,3.2623312068445465,1,0.07088828209297245
till_id:cctrt_id,3.9621326268761248,8,0.8605237145910009
till_id:straw_id,0.13122069624717533,2,0.9364957005144009
cctrt_id:straw_id,0.810478671184033,4,0.9370377572200612
till_id:yearF,0.7345446083039281,2,0.6926210157849562
cctrt_id:yearF,21.909622083194108,4,2.0889532962993775e-4
straw_id:yearF,0.0597405673547867,1,0.8069064551287003
till_id:cctrt_id:straw_id,0.4117755277565578,8,0.9999364630248263
till_id:cctrt_id:yearF,3.2041510832426408,8,0.9209001852918927
till_id:straw_id:yearF,0.1334112358197817,2,0.935470546581172
cctrt_id:straw_id:yearF,0.34693850137738574,4,0.9865860617905968
till_id:cctrt_id:straw_id:yearF,0.9365795329953043,8,0.998618181055079
