straw_id,till_id,term,contrast,null.value,ratio,std.error,df,null,statistic,adj.p.value
removed,inversion,cctrt_id,mix_E / mix_M,0,1.2848695022038699,0.1615321019710442,Inf,1,1.99379401689569,0.2689207617846652
removed,inversion,cctrt_id,mix_E / nocc,0,1.2340741773914516,0.1508980912113561,Inf,1,1.7200466632182663,0.42148665418361253
removed,inversion,cctrt_id,mix_E / rad_L,0,1.0641341183662858,0.12651671332930073,Inf,1,0.5228408255454918,0.9850783781750747
removed,inversion,cctrt_id,mix_E / rad_M,0,1.0207481488421937,0.12031861948051281,Inf,1,0.17422006997966064,0.999794205744726
removed,inversion,cctrt_id,mix_M / nocc,0,0.9604665495404073,0.12619557735559708,Inf,1,-0.3069956819644877,0.998073897667719
removed,inversion,cctrt_id,mix_M / rad_L,0,0.8282040444893679,0.10612182656251425,Inf,1,-1.4710726943244512,0.5813786584605416
removed,inversion,cctrt_id,mix_M / rad_M,0,0.7944372149010911,0.1009807873333398,Inf,1,-1.8104131093692017,0.36741340774654163
removed,inversion,cctrt_id,nocc / rad_L,0,0.8622934811063141,0.10778281973273061,Inf,1,-1.185319315019894,0.7598767984679962
removed,inversion,cctrt_id,nocc / rad_M,0,0.8271367860559403,0.10257057002006335,Inf,1,-1.530442095881766,0.5425383366386383
removed,inversion,cctrt_id,rad_L / rad_M,0,0.95922885210118,0.11556715963189547,Inf,1,-0.34550016772671555,0.9969458432492483
retained,inversion,cctrt_id,mix_E / mix_M,0,0.7602312790348257,0.08378141447659208,Inf,1,-2.4874748331960683,0.09341415479601656
retained,inversion,cctrt_id,mix_E / nocc,0,0.9325628711218411,0.10687977540749401,Inf,1,-0.6091922834800352,0.9736965769122436
retained,inversion,cctrt_id,mix_E / rad_L,0,0.7964484695305093,0.08878321546239179,Inf,1,-2.0416694124901267,0.24607344904164297
retained,inversion,cctrt_id,mix_E / rad_M,0,0.921540007559038,0.10562076582305333,Inf,1,-0.7129108767491409,0.9536296573730327
retained,inversion,cctrt_id,mix_M / nocc,0,1.2266831118890609,0.13458420738335697,Inf,1,1.8622420754085895,0.33792193411783134
retained,inversion,cctrt_id,mix_M / rad_L,0,1.0476397005680484,0.1115341904743394,Inf,1,0.43714728367491,0.99242752450528
retained,inversion,cctrt_id,mix_M / rad_M,0,1.2121837564076638,0.1329969494654597,Inf,1,1.7538193943106868,0.40091701775322297
retained,inversion,cctrt_id,nocc / rad_L,0,0.8540426540597839,0.09479812067297023,Inf,1,-1.4213978559041338,0.6137835694003064
retained,inversion,cctrt_id,nocc / rad_M,0,0.9881800317124538,0.11282298990273462,Inf,1,-0.10414398344755878,0.9999734829803419
retained,inversion,cctrt_id,rad_L / rad_M,0,1.1570616842320856,0.1282896464494313,Inf,1,1.315745382172134,0.6814002934349291
removed,notill,cctrt_id,mix_E / mix_M,0,2.366854293486183,0.40324977609430007,Inf,1,5.056893513888121,4.229004908151701e-6
removed,notill,cctrt_id,mix_E / nocc,0,2.6954041530603488,0.48279531058966496,Inf,1,5.535726967749388,3.0899344283241703e-7
removed,notill,cctrt_id,mix_E / rad_L,0,2.8545528809175087,0.5155226715904274,Inf,1,5.8080548789965345,6.309168276708021e-8
removed,notill,cctrt_id,mix_E / rad_M,0,2.5425901798469495,0.4426903124271467,Inf,1,5.359734947663478,8.298507522264131e-7
removed,notill,cctrt_id,mix_M / nocc,0,1.138812879389478,0.23565773680008728,Inf,1,0.6281574816981299,0.970579746991286
removed,notill,cctrt_id,mix_M / rad_L,0,1.2060534899733881,0.25154282129659405,Inf,1,0.8982895306230005,0.897635495826163
removed,notill,cctrt_id,mix_M / rad_M,0,1.0742487135116043,0.21757892102982374,Inf,1,0.35361584383758055,0.9966573913871061
removed,notill,cctrt_id,nocc / rad_L,0,1.059044476753686,0.22825478163076682,Inf,1,0.266168675355994,0.9988997485102882
removed,notill,cctrt_id,nocc / rad_M,0,0.9433057291093453,0.19779803962323264,Inf,1,-0.2783439508915232,0.9986882380612341
removed,notill,cctrt_id,rad_L / rad_M,0,0.8907139877645958,0.1884196196111135,Inf,1,-0.5470981542105382,0.9823213358978755
retained,notill,cctrt_id,mix_E / mix_M,0,1.8282187640654584,0.3077215697195798,Inf,1,3.584543723286267,0.0031129065354535967
retained,notill,cctrt_id,mix_E / nocc,0,1.8965881690839492,0.323769634860846,Inf,1,3.749343948048932,0.001662338865007884
retained,notill,cctrt_id,mix_E / rad_L,0,2.0593186861560815,0.35838433687358706,Inf,1,4.150853094732915,3.1973006825314343e-4
retained,notill,cctrt_id,mix_E / rad_M,0,2.3718774977282346,0.4350789361531684,Inf,1,4.708450211228208,2.4609133494890578e-5
retained,notill,cctrt_id,mix_M / nocc,0,1.0373967308302077,0.19581203728483465,Inf,1,0.19451016323823062,0.9996813622690509
retained,notill,cctrt_id,mix_M / rad_L,0,1.126407149206105,0.21619572185611036,Inf,1,0.6201773149693605,0.9719200029530173
retained,notill,cctrt_id,mix_M / rad_M,0,1.2973707219008233,0.26016173300069945,Inf,1,1.2982581791663506,0.6923118602900502
retained,notill,cctrt_id,nocc / rad_L,0,1.0858017147448151,0.21028889050092764,Inf,1,0.4250424281604396,0.9931994780178276
retained,notill,cctrt_id,nocc / rad_M,0,1.2506022848776124,0.25306146896391296,Inf,1,1.1051317540651744,0.8039372271510504
retained,notill,cctrt_id,rad_L / rad_M,0,1.1517777766371724,0.23673176711957863,Inf,1,0.6875032078849194,0.9592478858314648
removed,surface,cctrt_id,mix_E / mix_M,0,1.2748021599763208,0.17902758218264286,Inf,1,1.7288424766925348,0.4160912383671691
removed,surface,cctrt_id,mix_E / nocc,0,1.1185386873170144,0.15261921180940544,Inf,1,0.8210117092343813,0.9242561950811339
removed,surface,cctrt_id,mix_E / rad_L,0,1.2653000661024703,0.17800918491511486,Inf,1,1.6725927572949906,0.45101686314011213
removed,surface,cctrt_id,mix_E / rad_M,0,1.369470750874469,0.19605005280789958,Inf,1,2.1963521418155563,0.18097080798900578
removed,surface,cctrt_id,mix_M / nocc,0,0.8774213932441024,0.12349620757503861,Inf,1,-0.9290856965152889,0.8857122251331343
removed,surface,cctrt_id,mix_M / rad_L,0,0.9925462207610104,0.14375112175317606,Inf,1,-0.051658244172482215,0.9999983886012207
removed,surface,cctrt_id,mix_M / rad_M,0,1.074261398254853,0.15818854539593694,Inf,1,0.48646345971312266,0.9886278912000164
removed,surface,cctrt_id,nocc / rad_L,0,1.1312081383054216,0.1594897146242688,Inf,1,0.8744285800869235,0.9063602425625341
removed,surface,cctrt_id,nocc / rad_M,0,1.2243391904122274,0.17557698962306245,Inf,1,1.4113910817650113,0.6202806458601763
removed,surface,cctrt_id,rad_L / rad_M,0,1.0823288384808816,0.1596217346466272,Inf,1,0.536446380583197,0.9835720822629992
retained,surface,cctrt_id,mix_E / mix_M,0,1.1965784074845178,0.1697799258732914,Inf,1,1.26484522325705,0.7128625747561144
retained,surface,cctrt_id,mix_E / nocc,0,1.0237912339239992,0.1400759967368127,Inf,1,0.17184976596313833,0.9998051043365579
retained,surface,cctrt_id,mix_E / rad_L,0,1.1752459233469994,0.1658294517930479,Inf,1,1.144402758718333,0.7828254766390859
retained,surface,cctrt_id,mix_E / rad_M,0,1.2148735815686726,0.17452230156988296,Inf,1,1.3549157905943432,0.6566272516031002
retained,surface,cctrt_id,mix_M / nocc,0,0.8555989540846246,0.11881705547145989,Inf,1,-1.1230178333413945,0.7944381617444702
retained,surface,cctrt_id,mix_M / rad_L,0,0.9821720967016578,0.14054097831783868,Inf,1,-0.12571446098087122,0.9999438273349497
retained,surface,cctrt_id,mix_M / rad_M,0,1.0152895739800416,0.1478340390611756,Inf,1,0.10421056217380076,0.999973415278461
retained,surface,cctrt_id,nocc / rad_L,0,1.1479351301363492,0.1585183703566123,Inf,1,0.9990932166177412,0.8558851203971098
retained,surface,cctrt_id,nocc / rad_M,0,1.1866419063897342,0.1669465463068996,Inf,1,1.216358993228787,0.7418779901383401
retained,surface,cctrt_id,rad_L / rad_M,0,1.0337186093858697,0.14968659793602676,Inf,1,0.22901714910720594,0.9993917979674238
