cctrt_id,till_id,response,std.error,df,null,statistic,p.value
mix_E,inversion,515.07074549909,52.027157876635435,Inf,1,61.81883812546296,0
mix_M,inversion,521.1521171453932,53.428816423664465,Inf,1,61.022304744490945,0
nocc,inversion,480.1281740055616,49.31061765320049,Inf,1,60.115589318563046,0
rad_L,inversion,559.4868184870666,56.39429340281101,Inf,1,62.77025668411045,0
rad_M,inversion,531.0684315149628,53.816558165761414,Inf,1,61.921396950185724,0
mix_E,notill,327.246755461171,35.688738856348444,Inf,1,53.09777227887441,0
mix_M,notill,157.31694599202672,20.10365479996103,Inf,1,39.582375538030064,0
nocc,notill,144.73610602942094,18.987814141668263,Inf,1,37.921658784109965,0
rad_L,notill,134.97226092815146,17.931773499565878,Inf,1,36.92040227442556,2.1749762150329474e-298
rad_M,notill,133.25730911856604,17.83184192440605,Inf,1,36.56001023905828,1.2363700177635946e-292
mix_E,surface,388.3506295970483,41.91146557423967,Inf,1,55.24290150511362,0
mix_M,surface,314.4358367559555,34.58314958744848,Inf,1,52.28706335380398,0
nocc,surface,362.90487760454863,38.88071190592852,Inf,1,55.014744441020724,0
rad_L,surface,318.46585218222026,34.990392313736706,Inf,1,52.45676529478741,0
rad_M,surface,301.0801259354258,33.56923034031462,Inf,1,51.18906797733434,0
