till_id,cctrt_id,date,est_year,year,doy,activity
notill,mix_E,2018-04-23,2018,2018,113,cc_planting
notill,mix_E,2019-04-08,2019,2019,98,cc_planting
notill,rad_M,2018-07-16,2018,2018,197,cc_planting
notill,rad_M,2019-07-31,2019,2019,212,cc_planting
notill,rad_L,2018-08-20,2018,2018,232,cc_planting
notill,rad_L,2019-09-09,2019,2019,252,cc_planting
notill,mix_M,2018-07-16,2018,2018,197,cc_planting
notill,mix_M,2019-07-31,2019,2019,212,cc_planting
notill,nocc,NA,NA,NA,NA,cc_planting
med,mix_E,2018-04-23,2018,2018,113,cc_planting
med,mix_E,2019-04-08,2019,2019,98,cc_planting
med,rad_M,2018-07-16,2018,2018,197,cc_planting
med,rad_M,2019-07-31,2019,2019,212,cc_planting
med,rad_L,2018-08-20,2018,2018,232,cc_planting
med,rad_L,2019-09-09,2019,2019,252,cc_planting
med,mix_M,2018-07-16,2018,2018,197,cc_planting
med,mix_M,2019-07-31,2019,2019,212,cc_planting
med,nocc,NA,NA,NA,NA,cc_planting
high,mix_E,2018-04-23,2018,2018,113,cc_planting
high,mix_E,2019-04-08,2019,2019,98,cc_planting
high,rad_M,2018-07-16,2018,2018,197,cc_planting
high,rad_M,2019-07-31,2019,2019,212,cc_planting
high,rad_L,2018-08-20,2018,2018,232,cc_planting
high,rad_L,2019-09-09,2019,2019,252,cc_planting
high,mix_M,2018-07-16,2018,2018,197,cc_planting
high,mix_M,2019-07-31,2019,2019,212,cc_planting
high,nocc,NA,NA,NA,NA,cc_planting
high,mix_E,2018-11-15,2018,2018,319,cc_termination
high,mix_E,2019-11-15,2019,2019,319,cc_termination
high,mix_M,2018-11-15,2018,2018,319,cc_termination
high,mix_M,2019-11-15,2019,2019,319,cc_termination
high,nocc,NA,NA,NA,NA,cc_termination
high,rad_L,2018-11-15,2018,2018,319,cc_termination
high,rad_L,2019-11-15,2019,2019,319,cc_termination
high,rad_M,2018-11-15,2018,2018,319,cc_termination
high,rad_M,2019-11-15,2019,2019,319,cc_termination
med,mix_E,2019-04-01,2018,2019,91,cc_termination
med,mix_E,2020-04-01,2019,2020,92,cc_termination
med,mix_M,2019-04-01,2018,2019,91,cc_termination
med,mix_M,2020-04-01,2019,2020,92,cc_termination
med,nocc,NA,NA,NA,NA,cc_termination
med,rad_L,2019-04-01,2018,2019,91,cc_termination
med,rad_L,2020-04-01,2019,2020,92,cc_termination
med,rad_M,2019-04-01,2018,2019,91,cc_termination
med,rad_M,2020-04-01,2019,2020,92,cc_termination
notill,mix_E,2019-04-01,2018,2019,91,cc_termination
notill,mix_E,2020-04-01,2019,2020,92,cc_termination
notill,mix_M,2019-04-01,2018,2019,91,cc_termination
notill,mix_M,2020-04-01,2019,2020,92,cc_termination
notill,nocc,NA,NA,NA,NA,cc_termination
notill,rad_L,2019-04-01,2018,2019,91,cc_termination
notill,rad_L,2020-04-01,2019,2020,92,cc_termination
notill,rad_M,2019-04-01,2018,2019,91,cc_termination
notill,rad_M,2020-04-01,2019,2020,92,cc_termination
