eu_id,year,nu_sp
30502,2018,3
30502,2019,4
30503,2018,3
30503,2019,3
30504,2018,2
30504,2019,3
30505,2018,2
30505,2019,3
30506,2018,3
30506,2019,5
30602,2018,3
30602,2019,4
30603,2018,2
30603,2019,3
30604,2018,2
30604,2019,5
30605,2018,5
30605,2019,3
30606,2018,4
30606,2019,6
30802,2018,3
30802,2019,4
30803,2018,2
30803,2019,2
30804,2018,2
30804,2019,3
30805,2018,2
30805,2019,3
30806,2018,2
30806,2019,3
31402,2018,5
31402,2019,4
31403,2018,2
31403,2019,3
31404,2018,2
31404,2019,2
31405,2018,3
31405,2019,4
31406,2018,3
31406,2019,4
31502,2018,5
31502,2019,4
31503,2018,2
31503,2019,5
31504,2018,5
31504,2019,5
31505,2018,1
31505,2019,4
31506,2018,1
31506,2019,4
31602,2018,3
31602,2019,3
31603,2018,2
31603,2019,2
31604,2018,2
31604,2019,3
31605,2018,4
31605,2019,4
31606,2018,3
31606,2019,4
31801,2018,2
31801,2019,3
31802,2018,2
31802,2019,3
31803,2018,2
31803,2019,3
31805,2018,6
31805,2019,4
31806,2018,2
31806,2019,4
31901,2018,2
31901,2019,3
31902,2018,5
31902,2019,4
31903,2018,2
31903,2019,3
31905,2018,2
31905,2019,5
31906,2018,2
31906,2019,2
32001,2018,2
32001,2019,2
32002,2018,4
32002,2019,3
32003,2018,3
32003,2019,8
32005,2018,1
32005,2019,6
32006,2018,3
32006,2019,3
32601,2018,2
32601,2019,2
32602,2018,3
32602,2019,5
32603,2018,1
32603,2019,3
32605,2018,3
32605,2019,5
32606,2018,2
32606,2019,2
32701,2018,2
32701,2019,3
32702,2018,3
32702,2019,4
32703,2018,3
32703,2019,5
32705,2018,2
32705,2019,4
32706,2018,2
32706,2019,4
32801,2018,2
32801,2019,3
32802,2018,2
32802,2019,3
32803,2018,1
32803,2019,3
32805,2018,2
32805,2019,3
32806,2018,2
32806,2019,3
34101,2018,2
34101,2019,5
34102,2018,3
34102,2019,2
34103,2018,2
34103,2019,3
34104,2018,2
34104,2019,3
34105,2018,1
34105,2019,3
34301,2018,2
34301,2019,3
34302,2018,5
34302,2019,6
34303,2018,2
34303,2019,3
34304,2018,2
34304,2019,3
34305,2018,1
34305,2019,5
34401,2018,2
34401,2019,4
34402,2018,4
34402,2019,5
34403,2018,2
34403,2019,4
34404,2018,2
34404,2019,4
34405,2018,1
34405,2019,4
34602,2018,2
34602,2019,5
34603,2018,2
34603,2019,3
34604,2018,2
34604,2019,3
34605,2018,1
34605,2019,4
34606,2018,2
34606,2019,4
34702,2018,4
34702,2019,4
34703,2018,2
34703,2019,2
34704,2018,2
34704,2019,4
34705,2018,1
34705,2019,4
34706,2018,1
34706,2019,3
34802,2018,2
34802,2019,3
34803,2018,2
34803,2019,2
34804,2018,2
34804,2019,3
34805,2018,1
34805,2019,4
34806,2018,1
34806,2019,3
34901,2018,2
34901,2019,3
34902,2018,4
34902,2019,4
34903,2018,2
34903,2019,5
34905,2018,3
34905,2019,4
34906,2018,2
34906,2019,2
35101,2018,2
35101,2019,2
35102,2018,3
35102,2019,3
35103,2018,2
35103,2019,3
35105,2018,4
35105,2019,4
35106,2018,2
35106,2019,2
35201,2018,2
35201,2019,2
35202,2018,4
35202,2019,3
35203,2018,1
35203,2019,5
35205,2018,2
35205,2019,4
35206,2018,2
35206,2019,3
35301,2018,2
35301,2019,3
35302,2018,5
35302,2019,5
35304,2018,3
35304,2019,5
35305,2018,4
35305,2019,4
35306,2018,2
35306,2019,2
35401,2018,2
35401,2019,2
35402,2018,4
35402,2019,3
35404,2018,2
35404,2019,3
35405,2018,2
35405,2019,4
35406,2018,2
35406,2019,3
35501,2018,2
35501,2019,3
35502,2018,4
35502,2019,5
35504,2018,2
35504,2019,3
35505,2018,3
35505,2019,4
35506,2018,2
35506,2019,2
