eppo_code,latin_name,eco_service,raw_value
horvw,hordeum vulgare,pol1,0
horvw,hordeum vulgare,pol2,0
horvw,hordeum vulgare,pol3,0
horvw,hordeum vulgare,p_cont1,0
horvw,hordeum vulgare,p_cont2,0
horvw,hordeum vulgare,p_cont3_floral_nectar_parts,0
horvw,hordeum vulgare,harm3,0
avesa,avena sativa,pol1,0
avesa,avena sativa,pol2,0
avesa,avena sativa,pol3,0
avesa,avena sativa,p_cont1,0
avesa,avena sativa,p_cont2,0
avesa,avena sativa,p_cont3_floral_nectar_parts,0
avesa,avena sativa,harm3,0
rapsr,raphanus sativus,pol1,8975.708327
rapsr,raphanus sativus,pol2,6529.512337
rapsr,raphanus sativus,pol3,7862.652024
rapsr,raphanus sativus,p_cont1,406.1635678
rapsr,raphanus sativus,p_cont2,272.9419176
rapsr,raphanus sativus,p_cont3_floral_nectar_parts,11.84
rapsr,raphanus sativus,harm3,1
lolpe,lolium perenne,pol1,38.0559456
lolpe,lolium perenne,pol2,38.0559456
lolpe,lolium perenne,pol3,38.0559456
lolpe,lolium perenne,p_cont1,3.6
lolpe,lolium perenne,p_cont2,3.6
lolpe,lolium perenne,p_cont3_floral_nectar_parts,0
lolpe,lolium perenne,harm3,1
trfre,trifolium repens,pol1,8403.821807
trfre,trifolium repens,pol2,14156.07938
trfre,trifolium repens,pol3,54.36563657
trfre,trifolium repens,p_cont1,4.27
trfre,trifolium repens,p_cont2,4.27
trfre,trifolium repens,p_cont3_floral_nectar_parts,0
trfre,trifolium repens,harm3,3
tarof,taraxacum officinale,pol1,22358.4396
tarof,taraxacum officinale,pol2,8222.379074
tarof,taraxacum officinale,pol3,58569.22721
tarof,taraxacum officinale,p_cont1,8.025416998
tarof,taraxacum officinale,p_cont2,8.025416998
tarof,taraxacum officinale,p_cont3_floral_nectar_parts,7.2
tarof,taraxacum officinale,harm3,1
cirar,cirsium arvense,pol1,3168.855375
cirar,cirsium arvense,pol2,9365.942983
cirar,cirsium arvense,pol3,35.33766377
cirar,cirsium arvense,p_cont1,25.08601346
cirar,cirsium arvense,p_cont2,25.08601346
cirar,cirsium arvense,p_cont3_floral_nectar_parts,3.9
cirar,cirsium arvense,harm3,1
gerss,geranium species,pol1,1181.8450851833334
gerss,geranium species,pol2,908.97243965
gerss,geranium species,pol3,942.3485773766666
gerss,geranium species,p_cont1,47.77646374166667
gerss,geranium species,p_cont2,45.30927217666667
gerss,geranium species,p_cont3_floral_nectar_parts,6.1066666666666665
gerss,geranium species,harm3,1.3333333333333333
paprh,papaver rhoeas,pol1,8827.236076
paprh,papaver rhoeas,pol2,149.5055006
paprh,papaver rhoeas,pol3,8827.236076
paprh,papaver rhoeas,p_cont1,4.055418764
paprh,papaver rhoeas,p_cont2,4.055418764
paprh,papaver rhoeas,p_cont3_floral_nectar_parts,0
paprh,papaver rhoeas,harm3,5
verss,veronica species,pol1,1589.880792325
verss,veronica species,pol2,2833.810749825
verss,veronica species,pol3,1112.70601665
verss,veronica species,p_cont1,19.789635117
verss,veronica species,p_cont2,18.123679182
verss,veronica species,p_cont3_floral_nectar_parts,4.4
verss,veronica species,harm3,3.5
capbp,capsella bursa-pastoris,pol1,330.5096206
capbp,capsella bursa-pastoris,pol2,10.87312731
capbp,capsella bursa-pastoris,pol3,583.4364127
capbp,capsella bursa-pastoris,p_cont1,3.757268072
capbp,capsella bursa-pastoris,p_cont2,3.757268072
capbp,capsella bursa-pastoris,p_cont3_floral_nectar_parts,2.56
capbp,capsella bursa-pastoris,harm3,5
senss,senecio species,pol1,1980.794782
senss,senecio species,pol2,945.5763123
senss,senecio species,pol3,3119.357934
senss,senecio species,p_cont1,8.5110699695
senss,senecio species,p_cont2,8.5110699695
senss,senecio species,p_cont3_floral_nectar_parts,3.6
senss,senecio species,harm3,3
matin,tripleurospermum inodorum,pol1,0
matin,tripleurospermum inodorum,pol2,0
matin,tripleurospermum inodorum,pol3,0
matin,tripleurospermum inodorum,p_cont1,0
matin,tripleurospermum inodorum,p_cont2,0
matin,tripleurospermum inodorum,p_cont3_floral_nectar_parts,0
matin,tripleurospermum inodorum,harm3,0
lamss,lamium species,pol1,7213.379033
lamss,lamium species,pol2,12532.632305
lamss,lamium species,pol3,33.978522854999994
lamss,lamium species,p_cont1,26.033764795
lamss,lamium species,p_cont2,26.033764795
lamss,lamium species,p_cont3_floral_nectar_parts,1.5
lamss,lamium species,harm3,4
ephex,euphorbiaceae,pol1,20.38711371
ephex,euphorbiaceae,pol2,695.3797178
ephex,euphorbiaceae,pol3,1226.53025
ephex,euphorbiaceae,p_cont1,15.09181956
ephex,euphorbiaceae,p_cont2,15.09181956
ephex,euphorbiaceae,p_cont3_floral_nectar_parts,4.8
ephex,euphorbiaceae,harm3,10
